'Datetime','N','P','Z','D'
1.262297773000000000e+09,2.783481439619620024e-02,4.805734126910300996e-01,1.925169118194101747e+00,1.566422654718673924e+00
1.262297774000000000e+09,2.956606530165519636e-02,4.583889737363465722e-01,1.914366591013735741e+00,1.597678369948264399e+00
1.262297775000000000e+09,3.181063504866141201e-02,4.379300652280388451e-01,1.902891340159016176e+00,1.627367959564285593e+00
1.262297776000000000e+09,3.466031206670767972e-02,4.191047452868591483e-01,1.890844929705171706e+00,1.655390012941263533e+00
1.262297777000000000e+09,3.819066188995880878e-02,4.018375296164549138e-01,1.878312363257542250e+00,1.681659445236046047e+00
1.262297778000000000e+09,4.250280959321176694e-02,3.860716511829415110e-01,1.865369035227788741e+00,1.706056503996060014e+00
1.262297779000000000e+09,4.774645426717953611e-02,3.717703856693779230e-01,1.852085247549236646e+00,1.728397912514207935e+00
1.262297780000000000e+09,5.411986901849116793e-02,3.589170514757669683e-01,1.838526209676875967e+00,1.748436869828867923e+00
1.262297781000000000e+09,6.186990096969172126e-02,3.475150097190554677e-01,1.824752038587360792e+00,1.765863050723893934e+00
1.262297782000000000e+09,7.129197125924230383e-02,3.375876642331341326e-01,1.810817758779010189e+00,1.780302605728615539e+00
1.262297783000000000e+09,8.273007504152006530e-02,3.291784615688372329e-01,1.796773302271806871e+00,1.791318161117837926e+00
1.262297784000000000e+09,9.657678148681819730e-02,3.223508909939430955e-01,1.782663508607398750e+00,1.798408818911841900e+00
1.262297785000000000e+09,1.132732337813459333e-01,3.171884844931739389e-01,1.768528124849098049e+00,1.801010156876384327e+00
1.262297786000000000e+09,1.329774747274013180e-01,3.137994429945991648e-01,1.754415918942509256e+00,1.798807163335492287e+00
1.262297787000000000e+09,1.558852258074249486e-01,3.123459614867343248e-01,1.740387901436548646e+00,1.791380911269293996e+00
1.262297788000000000e+09,1.835404368819152365e-01,3.130294222483467337e-01,1.726461614937396583e+00,1.776968525932343557e+00
1.262297789000000000e+09,2.171026468166472045e-01,3.160805093669056265e-01,1.712666782721607328e+00,1.754150061094841950e+00
1.262297790000000000e+09,2.572547178795789868e-01,3.217593829061499155e-01,1.699048657217352432e+00,1.721937241996920553e+00
1.262297791000000000e+09,3.042028357408518291e-01,3.303556789060881349e-01,1.685668020004420953e+00,1.679773465348640915e+00
1.262297792000000000e+09,3.576765094727903938e-01,3.421885093829986069e-01,1.672601181814218574e+00,1.627533799329994535e+00
1.262297793000000000e+09,4.169285715499022604e-01,3.576064623294292755e-01,1.659939982529767821e+00,1.565524983590902641e+00
1.262297794000000000e+09,4.807351778488782035e-01,3.769876017141977065e-01,1.647791791185708954e+00,1.494485429251216857e+00
1.262297795000000000e+09,5.473958076485925250e-01,4.007394674823911984e-01,1.636279505968299297e+00,1.415585218900718756e+00
1.262297796000000000e+09,6.147378470229210023e-01,4.292947167161959010e-01,1.625541445202866253e+00,1.330425991058018953e+00
1.262297797000000000e+09,6.801494405438169855e-01,4.629058259696523514e-01,1.615731795415935368e+00,1.241212938070597627e+00
1.262297798000000000e+09,7.403105608874546162e-01,5.017724917872845580e-01,1.607045345795958813e+00,1.150871601529304122e+00
1.262297799000000000e+09,7.919058984328194439e-01,5.460393182922178568e-01,1.599719959085142751e+00,1.062334824189822280e+00
